Key;English;Vietnamese
guide.capturing.paragraph2;You cannot capture your own pieces. Except for the Knight, pieces cannot jump over other pieces.;Không được bắt quân của chính mình. Trừ Mã, các quân khác không được nhảy qua quân cờ.
guide.capturing.paragraph3;The King is never captured. The game is won by checkmate, or ends by resignation/draw.;Vua không bao giờ bị bắt trực tiếp. Ván cờ thắng bằng chiếu bí, hoặc kết thúc bằng đầu hàng/hòa.
guide.check.paragraph1;A King is in <b>check</b> when attacked by one or more opponent pieces. You must respond immediately.;<b>Chiếu</b> là khi Vua bị một hoặc nhiều quân đối phương tấn công. Bên bị chiếu phải xử lý ngay.
guide.check.paragraph2;To respond to check, a player may choose one of the following legal options:;Để thoát chiếu, người chơi có thể chọn một trong các cách hợp lệ sau:
guide.check.paragraph3;Move the King to a safe square;Di chuyển Vua đến ô an toàn
guide.check.paragraph4;Capture the attacking piece;Bắt quân đang chiếu
guide.check.paragraph5;Block the line of attack (if possible);Chặn đường chiếu (nếu có thể)
guide.check.paragraph6;If none of these is possible, it is checkmate and the game is lost.;Nếu không thể làm cách nào ở trên, đó là chiếu bí và ván cờ kết thúc thua.
guide.result.paragraph1;A game is won by <b>checkmate</b>, when the checked King has no legal escape.;Ván cờ thắng bằng <b>chiếu bí</b>, khi Vua bị chiếu và không còn nước hợp lệ để thoát.
guide.result.paragraph2;If a player runs out of move time (in modes that use per-move time), that player loses.;Nếu người chơi hết thời gian cho một nước đi (ở chế độ có giới hạn thời gian mỗi nước), người đó thua.
guide.result.paragraph3;If a player runs out of total game time, that player loses (unless the opponent has no possible mating sequence).;Nếu người chơi hết tổng thời gian ván đấu, người đó thua (trừ khi đối phương không còn khả năng chiếu bí bằng bất kỳ chuỗi nước hợp lệ nào).
guide.result.paragraph4;A game is drawn by stalemate, dead position (insufficient mating material), or draw agreement.;Ván cờ hòa khi rơi vào thế bí không bị chiếu (stalemate), thế chết (không đủ lực chiếu bí), hoặc hai bên đồng ý hòa.
guide.result.paragraph5;A game can also be drawn by the <b>50-move rule</b> or <b>threefold repetition</b> according to the rules.;Ván cờ cũng có thể hòa theo <b>luật 50 nước</b> hoặc <b>lặp lại vị trí 3 lần</b> theo luật.
extra-money.title;Daily tasks;Kiếm tiền
extra-money.tab.lucky-wheel;Lucky Wheel;Vòng Quay May Mắn
extra-money.tab.bonus-coin;Bonus Coin;Xu Thưởng
extra-money.tab.daily-bonus;Daily Bonus;Thưởng hàng ngày
extra-money.bonus-coin.subtitle;Watch a short video to earn free coin;Xem video ngắn để nhận xu miễn phí
extra-money.bonus-coin.next-in;Next in:;Lượt kế tiếp:
extra-money.bonus-coin.collect;Collect;Thu thập
extra-money.bonus-coin.watch-video;Watch video;Xem video
extra-money.daily-bonus.subtitle;Login 7 days in a row to earn 4000 coin;Đăng nhập 7 ngày liên tiếp để nhận 4000 xu
extra-money.daily-bonus.day;Day;Ngày
extra-money.reward-ad.loading;Loading ad...;Đang tải quảng cáo...
extra-money.reward-ad.error;Could not load the ad. Please try again.;Không tải được quảng cáo. Vui lòng thử lại.
extra-money.reward-ad.retry;Try again;Thử lại
extra-money.reward-ad.close;Close;Đóng
profile.button.save;Save;Lưu
profile.button.cancel;Cancel;Huỷ
change-password.title;Change password;Đổi mật khẩu
change-password.current.label;Current password;Mật khẩu hiện tại
change-password.current.placeholder;Enter current password;Nhập mật khẩu hiện tại
change-password.new.label;New password;Mật khẩu mới
change-password.new.placeholder;Enter new password;Nhập mật khẩu mới
change-password.confirm.label;Confirm new password;Xác nhận mật khẩu mới
change-password.confirm.placeholder;Re-enter new password;Nhập lại mật khẩu mới
change-password.confirm.mismatch;Passwords do not match;Mật khẩu xác nhận không khớp
change-password.show;Show password;Hiện mật khẩu
change-password.hide;Hide password;Ẩn mật khẩu
change-password.submit;Change password;Đổi mật khẩu
change-password.submitting;Changing...;Đang đổi...
change-password.messages.success;Password changed successfully;Đổi mật khẩu thành công
change-password.messages.missing-fields;Please fill in all fields;Vui lòng nhập đầy đủ thông tin
change-password.messages.weak-password;New password does not meet the requirements;Mật khẩu mới không đạt yêu cầu
change-password.messages.same-as-current;New password must be different from the current one;Mật khẩu mới phải khác mật khẩu hiện tại
change-password.messages.incorrect-current-password;Current password is incorrect;Mật khẩu hiện tại không đúng
change-password.messages.user-not-found;User not found;Không tìm thấy người dùng
change-password.messages.unauthorized;Session expired. Please sign in again.;Phiên đăng nhập đã hết hạn. Vui lòng đăng nhập lại.
change-password.messages.internal-server-error;Something went wrong. Please try again.;Đã có lỗi xảy ra. Vui lòng thử lại.
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
